sku,qty
BGCroco240x170,2
BGCroco250x200,1
BGCroco300x200,1
BGCroco300x250,1
BGCroco350x250,2
BGCroco400x300,2
BGCroco300x80,1
RDAsteria,0
RDAsteria90x60,17
RDAsteria140x70,17
RDAsteria200x140,18
RDAsteria240x170,21
RDAsteria250x200,6
RDAsteria300x200,10
RDAsteria300x250,4
RDAsteria350x250,5
RDAsteria200x80,10
RDAsteria300x80,15
GDAsteria,0
GDAsteria90x60,27
GDAsteria140x70,10
GDAsteria200x140,13
GDAsteria240x170,10
GDAsteria250x200,10
GDAsteria300x200,7
GDAsteria300x250,4
GDAsteria350x250,6
GDAsteria200x80,20
GDAsteria300x80,19
BRAsteria,0
BRAsteria90x60,11
BRAsteria140x70,17
BRAsteria200x140,13
BRAsteria240x170,8
BRAsteria250x200,0
BRAsteria300x200,7
BRAsteria300x250,7
BRAsteria350x250,9
BRAsteria200x80,11
BRAsteria300x80,9
BGAsteria,0
BGAsteria90x60,12
BGAsteria140x70,18
BGAsteria200x140,7
BGAsteria240x170,14
BGAsteria250x200,14
BGAsteria300x200,5
BGAsteria300x250,8
